c.number	xy.region	minute
70	1	44.3333333333334
70	10	26.7166666666666
70	20	23.9833333333332
70	30	18.0666666666667
70	40	11.6166666666667
70	50	8.81666666666661
70	60	9.23333333333335
70	70	7.83333333333337
70	80	4.61666666666667
70	90	4.56666666666672
70	100	2.56666666666672
70	200	2.7833333333333
70	300	23.1166666666667
70	400	83.6666666666666
70	500	162.3
80	1	45.5500000000001
80	10	27.5833333333334
80	20	24.4666666666666
80	30	18.3833333333333
80	40	13.6
80	50	10.6333333333333
80	60	9.01666666666665
80	70	7.68333333333339
80	80	6.31666666666672
80	90	4.39999999999998
80	100	4.08333333333337
80	200	2.66666666666663
80	300	22.8000000000001
80	400	82.3333333333334
80	500	160.166666666667
90	1	37.0166666666668
90	10	25.35
90	20	20.9499999999999
90	30	15.6999999999999
90	40	11.6166666666667
90	50	9.41666666666663
90	60	7.94999999999993
90	70	6.75
90	80	5.93333333333328
90	90	4.20000000000005
90	100	3.91666666666663
90	200	2.54999999999995
90	300	18.9833333333332
90	400	72.1333333333333
90	500	139.15
100	1	43.65
100	10	25.0166666666668
100	20	22.0500000000001
100	30	16.4166666666666
100	40	12.1
100	50	9.88333333333333
100	60	8.36666666666667
100	70	8.48333333333335
100	80	5.79999999999995
100	90	4.20000000000005
100	100	3.89999999999998
100	200	2.5
100	300	18.3833333333333
100	400	68.2666666666668
100	500	133
200	1	43.8333333333334
200	10	28.4666666666666
200	20	22.8166666666667
200	30	19.1999999999999
200	40	13.4499999999999
200	50	11.15
200	60	9.7166666666667
200	70	10.0666666666666
200	80	7.56666666666661
200	90	7.45000000000005
200	100	5.5333333333333
200	200	2.48333333333335
200	300	18.4833333333332
200	400	83.4999999999999
200	500	160.933333333333
300	1	48.2833333333334
300	10	30.6666666666666
300	20	27.5166666666668
300	30	21.4166666666666
300	40	16.8000000000001
300	50	14.1166666666667
300	60	12.7666666666667
300	70	11.3166666666667
300	80	10.4166666666666
300	90	8.26666666666665
300	100	8.45000000000005
300	200	2.83333333333337
300	300	23.1333333333333
300	400	83.9666666666666
300	500	162.516666666667
400	1	51.5500000000001
400	10	34.8666666666667
400	20	28.0166666666668
400	30	25.5500000000001
400	40	17.2833333333334
400	50	14.1
400	60	12.35
400	70	13.7500000000001
400	80	10.0666666666667
400	90	11.1666666666666
400	100	8.01666666666665
400	200	2.48333333333335
400	300	22.6999999999999
400	400	82.6833333333333
400	500	161.15
500	1	51.7833333333334
500	10	34.6166666666667
500	20	32.3166666666667
500	30	25.2666666666668
500	40	22.4499999999999
500	50	19.7166666666666
500	60	17.15
500	70	13.7833333333334
500	80	10.0833333333334
500	90	11.1833333333334
500	100	7.9666666666667
500	200	2.41666666666674
500	300	22.9499999999999
500	400	83.6666666666666
500	500	160.416666666667
600	1	51.0000000000001
600	10	34.1833333333333
600	20	31.8833333333333
600	30	24.85
600	40	22.1
600	50	19.4333333333333
600	60	16.6
600	70	13.5166666666668
600	80	15.5500000000001
600	90	10.4
600	100	12.9
600	200	7.23333333333335
600	300	18.0333333333332
600	400	74.1666666666666
600	500	145.833333333333
700	1	45.8166666666667
700	10	30.35
700	20	28.9333333333333
700	30	22.6833333333333
700	40	19.7999999999998
700	50	17.3833333333333
700	60	14.9666666666666
700	70	11.5666666666667
700	80	13.15
700	90	7.33333333333326
700	100	10.6666666666666
700	200	6.75
700	300	18.1333333333333
700	400	70.2999999999998
700	500	137.683333333333
800	1	52.65
800	10	28.8833333333333
800	20	26.7999999999998
800	30	23.9333333333333
800	40	20.8166666666667
800	50	18.0333333333332
800	60	13.6166666666667
800	70	16.7166666666666
800	80	14.9833333333332
800	90	10.2833333333332
800	100	12.7333333333332
800	200	7.94999999999993
800	300	21.8333333333334
800	400	82.6333333333333
800	500	158.8
900	1	57.6
900	10	32.5500000000001
900	20	30.2499999999999
900	30	23.4333333333333
900	40	20.3666666666667
900	50	17.9
900	60	14.6666666666666
900	70	22.1999999999999
900	80	13.9
900	90	20.8166666666667
900	100	11.8000000000001
900	200	7.19999999999993
900	300	20.7499999999999
900	400	81.0166666666665
900	500	160.733333333333
1000	1	57.7166666666666
1000	10	45.5333333333332
1000	20	29.2666666666665
1000	30	35.3666666666667
1000	40	19.2333333333332
1000	50	16.7166666666666
1000	60	28.0833333333334
1000	70	21.1166666666667
1000	80	12.85
1000	90	19.8166666666667
1000	100	10.7833333333332
1000	200	6.13333333333333
1000	300	19.7499999999999
1000	400	80.3333333333334
1000	500	157.15
