c.number	xy.region	minute
10	1	29.5833333333333
10	10	9.51666666666665
10	20	7.45000000000005
10	30	3.25
10	40	2.85000000000002
10	50	2.5
10	60	2.33333333333337
10	70	2.2166666666667
10	80	2.23333333333335
10	90	2.20000000000005
10	100	2.08333333333337
10	200	2.23333333333335
10	300	18.6833333333334
10	400	69.1833333333334
10	500	133.916666666667
20	1	36.1000000000001
20	10	17.2333333333333
20	20	14.2
20	30	11.3333333333334
20	40	6.88333333333333
20	50	3.81666666666672
20	60	2.61666666666667
20	70	2.36666666666667
20	80	2.38333333333333
20	90	2.23333333333335
20	100	1.88333333333333
20	200	2.45000000000005
20	300	17.4833333333333
20	400	61.45
20	500	119.966666666667
30	1	39.0833333333333
30	10	21.45
30	20	18.7333333333333
30	30	13.2833333333333
30	40	7.16666666666663
30	50	6.13333333333333
30	60	4.31666666666672
30	70	4.81666666666672
30	80	2.30000000000007
30	90	2.30000000000007
30	100	2.18333333333339
30	200	2.36666666666667
30	300	17.8833333333333
30	400	69
30	500	138.083333333333
40	1	38.5
40	10	22.0666666666666
40	20	17.4166666666666
40	30	14.1833333333334
40	40	8.7166666666667
40	50	6.33333333333337
40	60	6.39999999999998
40	70	5.01666666666665
40	80	2.23333333333335
40	90	1.93333333333328
40	100	2.26666666666665
40	200	2.5
40	300	22.5166666666668
40	400	70.1999999999999
40	500	139.066666666667
50	1	39.2499999999999
50	10	23.2833333333334
50	20	20.5166666666668
50	30	14.9833333333332
50	40	10.6333333333333
50	50	7.9666666666667
50	60	6.63333333333333
50	70	5.13333333333333
50	80	4.08333333333337
50	90	2.35000000000002
50	100	2.2166666666667
50	200	2.41666666666663
50	300	19.85
50	400	71.4999999999999
50	500	141.7
60	1	42.9666666666666
60	10	24.1666666666666
60	20	21.4
60	30	15.1166666666667
60	40	10.8166666666666
60	50	8.29999999999995
60	60	6.79999999999995
60	70	7.04999999999995
60	80	4.11666666666667
60	90	2.38333333333333
60	100	2.13333333333333
60	200	2.31666666666661
60	300	18.8833333333333
60	400	83.2833333333334
60	500	160.083333333333
