cluster	Bcell	CD14Monocytes	MacrophagesMonocyte	Tcells	CD4Tcells	CD8Tcells	Endothelialcell	Dendriticcell	RegulatoryTcells	FCGR3AMonocytes	NKCells	Megakaryocytes	ctype	ctype.f
41	0.000780565	0.012378909	0.000132587	0.562575526	0.028483542	0.284165922	0	1.23E-06	0.002844942	0.006865332	0.095413589	0.006357851	Tcells	CD8Tcells
42	2.02E-05	0.005976633	2.31E-05	0.25527426	0.013161561	0.354560993	0	0	0	0.02881506	0.338576899	0.003591274	CD8Tcells	CD8Tcells
43	0	0.002729764	0	0.126868266	0.001038126	0.407766363	0	0	0	0.030509096	0.428338304	0.002750082	NKCells	CD8Tcells
44	6.27E-06	0.005997347	0	0.173958438	0.014793085	0.401117259	0	0	0	0.035548038	0.362737996	0.005841569	CD8Tcells	CD8Tcells
45	0	0	0	0.055153321	0.000761394	0.13207803	0	0	0	0.01507689	0.411928708	0.385001657	NKCells	CD8Tcells
46	0.015192106	0.050838497	0.104976885	0.008591989	0.090082189	0.495844707	0	0.224916877	0	0.002124923	0.001404017	0.00602781	CD8Tcells	Dendriticcell
47	0.017483792	0.807681902	0.036132065	0.012270893	0.033478248	0.008099643	0	0.033369604	0.000262128	0.02676689	0.019152832	0.005302003	CD14Monocytes	CD14Monocytes
48	0.002205541	0.39448007	0.106499269	0.000807926	0.022715083	0.002229575	0.000276086	0.000649671	0	0.454752634	0.003452934	0.011931212	FCGR3AMonocytes	FCGR3AMonocytes
49	0.000186888	0.903066581	0.036043951	0.000657718	0.019985218	0.003331954	0	0.000982305	4.58E-05	0.024715449	0.000829224	0.010154894	CD14Monocytes	CD14Monocytes
50	0.005442663	0.08020543	0.156518137	0.002962942	0.009276328	0.001526961	0	0.000588205	0.000336037	0.73500508	0.003823382	0.004314835	FCGR3AMonocytes	FCGR3AMonocytes
