gene1	gene2	pathway	interaction	type
244	RAP1B	PIK3R1	hsa04024	--gt	P
245	RAP1B	PIK3R2	hsa04024	--gt	P
246	RAP1B	PIK3R3	hsa04024	--gt	P
247	RAP1A	BRAF	hsa04024	--gt	P
248	RAP1B	BRAF	hsa04024	--gt	P
249	RAP1A	RAF1	hsa04024	--gt	P
250	RAP1B	RAF1	hsa04024	--gt	P
254	RHOA	ROCK1	hsa04024	--gt	P
255	RHOA	ROCK2	hsa04024	--gt	P
256	PRKACA	ORAI1	hsa04024	--gt	P
257	PRKACB	ORAI1	hsa04024	--gt	P
258	PRKACG	ORAI1	hsa04024	--gt	P
259	CALML6	ADCY1	hsa04024	--gt	P
260	CALML6	ADCY2	hsa04024	--gt	P
261	CALML6	ADCY3	hsa04024	--gt	P
263	CALML6	ADCY6	hsa04024	--gt	P
264	CALML6	ADCY7	hsa04024	--gt	P
266	CALML6	ADCY9	hsa04024	--gt	P
267	CALML6	ADCY4	hsa04024	--gt	P
277	CALM1	ADCY1	hsa04024	--gt	P
278	CALM1	ADCY2	hsa04024	--gt	P
279	CALM1	ADCY3	hsa04024	--gt	P
281	CALM1	ADCY6	hsa04024	--gt	P
282	CALM1	ADCY7	hsa04024	--gt	P
284	CALM1	ADCY9	hsa04024	--gt	P
285	CALM1	ADCY4	hsa04024	--gt	P
286	CALM2	ADCY1	hsa04024	--gt	P
287	CALM2	ADCY2	hsa04024	--gt	P
288	CALM2	ADCY3	hsa04024	--gt	P
290	CALM2	ADCY6	hsa04024	--gt	P
291	CALM2	ADCY7	hsa04024	--gt	P
293	CALM2	ADCY9	hsa04024	--gt	P
294	CALM2	ADCY4	hsa04024	--gt	P
295	CALM3	ADCY1	hsa04024	--gt	P
296	CALM3	ADCY2	hsa04024	--gt	P
297	CALM3	ADCY3	hsa04024	--gt	P
299	CALM3	ADCY6	hsa04024	--gt	P
300	CALM3	ADCY7	hsa04024	--gt	P
302	CALM3	ADCY9	hsa04024	--gt	P
303	CALM3	ADCY4	hsa04024	--gt	P
313	CALML4	ADCY1	hsa04024	--gt	P
314	CALML4	ADCY2	hsa04024	--gt	P
