gene1	gene2	pathway	interaction
PRKACB	RAF1	hsa04024	--|
PRKACG	RAF1	hsa04024	--|
PRKACA	LIPE	hsa04024	--gt
PRKACB	LIPE	hsa04024	--gt
PRKACG	LIPE	hsa04024	--gt
PRKACA	TNNI3	hsa04024	--gt
PRKACB	TNNI3	hsa04024	--gt
PRKACG	TNNI3	hsa04024	--gt
ADCYAP1	ADCYAP1R1	hsa04024	--gt
ADCYAP1	ADORA2A	hsa04024	--gt
ADCYAP1	GPR119	hsa04024	--gt
ADCYAP1	ADRB1	hsa04024	--gt
ADCYAP1	DRD1	hsa04024	--gt
ADCYAP1	DRD5	hsa04024	--gt
ADCYAP1	FSHR	hsa04024	--gt
ADCYAP1	GIPR	hsa04024	--gt
ADCYAP1	GLP1R	hsa04024	--gt
ADCYAP1	HTR4	hsa04024	--gt
ADCYAP1	HTR6	hsa04024	--gt
ADCYAP1	LHCGR	hsa04024	--gt
ADCYAP1	MC2R	hsa04024	--gt
ADCYAP1	NPR1	hsa04024	--gt
ADCYAP1	PTGER2	hsa04024	--gt
ADCYAP1	TSHR	hsa04024	--gt
ADCYAP1	VIPR2	hsa04024	--gt
VIP	ADCYAP1R1	hsa04024	--gt
VIP	ADORA2A	hsa04024	--gt
VIP	GPR119	hsa04024	--gt
VIP	ADRB1	hsa04024	--gt
VIP	DRD1	hsa04024	--gt
VIP	DRD5	hsa04024	--gt
VIP	FSHR	hsa04024	--gt
VIP	GIPR	hsa04024	--gt
VIP	GLP1R	hsa04024	--gt
VIP	HTR4	hsa04024	--gt
VIP	HTR6	hsa04024	--gt
VIP	LHCGR	hsa04024	--gt
VIP	MC2R	hsa04024	--gt
VIP	NPR1	hsa04024	--gt
VIP	PTGER2	hsa04024	--gt
VIP	TSHR	hsa04024	--gt
VIP	VIPR2	hsa04024	--gt
TSHB	ADCYAP1R1	hsa04024	--gt
TSHB	ADORA2A	hsa04024	--gt
TSHB	GPR119	hsa04024	--gt
TSHB	ADRB1	hsa04024	--gt
TSHB	DRD1	hsa04024	--gt
TSHB	DRD5	hsa04024	--gt
TSHB	FSHR	hsa04024	--gt
TSHB	GIPR	hsa04024	--gt
TSHB	GLP1R	hsa04024	--gt
TSHB	HTR4	hsa04024	--gt
TSHB	HTR6	hsa04024	--gt
TSHB	LHCGR	hsa04024	--gt
TSHB	MC2R	hsa04024	--gt
TSHB	NPR1	hsa04024	--gt
TSHB	PTGER2	hsa04024	--gt
TSHB	TSHR	hsa04024	--gt
TSHB	VIPR2	hsa04024	--gt
POMC	ADCYAP1R1	hsa04024	--gt
POMC	ADORA2A	hsa04024	--gt
POMC	GPR119	hsa04024	--gt
POMC	ADRB1	hsa04024	--gt
POMC	DRD1	hsa04024	--gt
POMC	DRD5	hsa04024	--gt
POMC	FSHR	hsa04024	--gt
POMC	GIPR	hsa04024	--gt
POMC	GLP1R	hsa04024	--gt
POMC	HTR4	hsa04024	--gt
POMC	HTR6	hsa04024	--gt
POMC	LHCGR	hsa04024	--gt
POMC	MC2R	hsa04024	--gt
POMC	NPR1	hsa04024	--gt
POMC	PTGER2	hsa04024	--gt
POMC	TSHR	hsa04024	--gt
POMC	VIPR2	hsa04024	--gt
GCG	ADCYAP1R1	hsa04024	--gt
GCG	ADORA2A	hsa04024	--gt
GCG	GPR119	hsa04024	--gt
GCG	ADRB1	hsa04024	--gt
GCG	DRD1	hsa04024	--gt
GCG	DRD5	hsa04024	--gt
GCG	FSHR	hsa04024	--gt
GCG	GIPR	hsa04024	--gt
GCG	GLP1R	hsa04024	--gt
GCG	HTR4	hsa04024	--gt
GCG	HTR6	hsa04024	--gt
GCG	LHCGR	hsa04024	--gt
GCG	MC2R	hsa04024	--gt
GCG	NPR1	hsa04024	--gt
GCG	PTGER2	hsa04024	--gt
GCG	TSHR	hsa04024	--gt
GCG	VIPR2	hsa04024	--gt
GIP	ADCYAP1R1	hsa04024	--gt
GIP	ADORA2A	hsa04024	--gt
GIP	GPR119	hsa04024	--gt
GIP	ADRB1	hsa04024	--gt
GIP	DRD1	hsa04024	--gt
GIP	DRD5	hsa04024	--gt
GIP	FSHR	hsa04024	--gt
GIP	GIPR	hsa04024	--gt
GIP	GLP1R	hsa04024	--gt
GIP	HTR4	hsa04024	--gt
GIP	HTR6	hsa04024	--gt
GIP	LHCGR	hsa04024	--gt
GIP	MC2R	hsa04024	--gt
GIP	NPR1	hsa04024	--gt
GIP	PTGER2	hsa04024	--gt
GIP	TSHR	hsa04024	--gt
GIP	VIPR2	hsa04024	--gt
NPPA	ADCYAP1R1	hsa04024	--gt
NPPA	ADORA2A	hsa04024	--gt
NPPA	GPR119	hsa04024	--gt
NPPA	ADRB1	hsa04024	--gt
NPPA	DRD1	hsa04024	--gt
NPPA	DRD5	hsa04024	--gt
NPPA	FSHR	hsa04024	--gt
NPPA	GIPR	hsa04024	--gt
NPPA	GLP1R	hsa04024	--gt
NPPA	HTR4	hsa04024	--gt
NPPA	HTR6	hsa04024	--gt
NPPA	LHCGR	hsa04024	--gt
NPPA	MC2R	hsa04024	--gt
NPPA	NPR1	hsa04024	--gt
NPPA	PTGER2	hsa04024	--gt
NPPA	TSHR	hsa04024	--gt
NPPA	VIPR2	hsa04024	--gt
EDN1	CHRM1	hsa04024	--gt
EDN1	CHRM2	hsa04024	--gt
EDN1	ADORA1	hsa04024	--gt
EDN1	ADRB2	hsa04024	--gt
EDN1	DRD2	hsa04024	--gt
EDN1	EDNRA	hsa04024	--gt
EDN1	GABBR1	hsa04024	--gt
EDN1	GHSR	hsa04024	--gt
EDN1	HCAR1	hsa04024	--gt
EDN1	FFAR2	hsa04024	--gt
EDN1	HTR1A	hsa04024	--gt
EDN1	HTR1B	hsa04024	--gt
EDN1	HTR1D	hsa04024	--gt
EDN1	HTR1E	hsa04024	--gt
EDN1	HTR1F	hsa04024	--gt
EDN1	HCAR2	hsa04024	--gt
EDN1	NPY1R	hsa04024	--gt
EDN1	OXTR	hsa04024	--gt
EDN1	SUCNR1	hsa04024	--gt
EDN1	PTGER3	hsa04024	--gt
EDN1	SSTR1	hsa04024	--gt
EDN1	SSTR2	hsa04024	--gt
EDN1	SSTR5	hsa04024	--gt
EDN1	HCAR3	hsa04024	--gt
EDN1	GABBR2	hsa04024	--gt
EDN2	CHRM1	hsa04024	--gt
EDN2	CHRM2	hsa04024	--gt
EDN2	ADORA1	hsa04024	--gt
EDN2	ADRB2	hsa04024	--gt
EDN2	DRD2	hsa04024	--gt
EDN2	EDNRA	hsa04024	--gt
EDN2	GABBR1	hsa04024	--gt
EDN2	GHSR	hsa04024	--gt
EDN2	HCAR1	hsa04024	--gt
EDN2	FFAR2	hsa04024	--gt
EDN2	HTR1A	hsa04024	--gt
EDN2	HTR1B	hsa04024	--gt
EDN2	HTR1D	hsa04024	--gt
EDN2	HTR1E	hsa04024	--gt
EDN2	HTR1F	hsa04024	--gt
EDN2	HCAR2	hsa04024	--gt
EDN2	NPY1R	hsa04024	--gt
EDN2	OXTR	hsa04024	--gt
EDN2	SUCNR1	hsa04024	--gt
EDN2	PTGER3	hsa04024	--gt
EDN2	SSTR1	hsa04024	--gt
EDN2	SSTR2	hsa04024	--gt
EDN2	SSTR5	hsa04024	--gt
EDN2	HCAR3	hsa04024	--gt
EDN2	GABBR2	hsa04024	--gt
EDN3	CHRM1	hsa04024	--gt
EDN3	CHRM2	hsa04024	--gt
EDN3	ADORA1	hsa04024	--gt
EDN3	ADRB2	hsa04024	--gt
EDN3	DRD2	hsa04024	--gt
EDN3	EDNRA	hsa04024	--gt
EDN3	GABBR1	hsa04024	--gt
EDN3	GHSR	hsa04024	--gt
EDN3	HCAR1	hsa04024	--gt
EDN3	FFAR2	hsa04024	--gt
EDN3	HTR1A	hsa04024	--gt
EDN3	HTR1B	hsa04024	--gt
EDN3	HTR1D	hsa04024	--gt
EDN3	HTR1E	hsa04024	--gt
EDN3	HTR1F	hsa04024	--gt
EDN3	HCAR2	hsa04024	--gt
EDN3	NPY1R	hsa04024	--gt
EDN3	OXTR	hsa04024	--gt
EDN3	SUCNR1	hsa04024	--gt
EDN3	PTGER3	hsa04024	--gt
EDN3	SSTR1	hsa04024	--gt
EDN3	SSTR2	hsa04024	--gt
EDN3	SSTR5	hsa04024	--gt
EDN3	HCAR3	hsa04024	--gt
EDN3	GABBR2	hsa04024	--gt
SST	CHRM1	hsa04024	--gt
SST	CHRM2	hsa04024	--gt
SST	ADORA1	hsa04024	--gt
SST	ADRB2	hsa04024	--gt
SST	DRD2	hsa04024	--gt
SST	EDNRA	hsa04024	--gt
SST	GABBR1	hsa04024	--gt
SST	GHSR	hsa04024	--gt
SST	HCAR1	hsa04024	--gt
SST	FFAR2	hsa04024	--gt
SST	HTR1A	hsa04024	--gt
SST	HTR1B	hsa04024	--gt
SST	HTR1D	hsa04024	--gt
SST	HTR1E	hsa04024	--gt
SST	HTR1F	hsa04024	--gt
SST	HCAR2	hsa04024	--gt
SST	NPY1R	hsa04024	--gt
SST	OXTR	hsa04024	--gt
SST	SUCNR1	hsa04024	--gt
SST	PTGER3	hsa04024	--gt
SST	SSTR1	hsa04024	--gt
SST	SSTR2	hsa04024	--gt
SST	SSTR5	hsa04024	--gt
SST	HCAR3	hsa04024	--gt
SST	GABBR2	hsa04024	--gt
OXT	CHRM1	hsa04024	--gt
OXT	CHRM2	hsa04024	--gt
OXT	ADORA1	hsa04024	--gt
OXT	ADRB2	hsa04024	--gt
OXT	DRD2	hsa04024	--gt
OXT	EDNRA	hsa04024	--gt
OXT	GABBR1	hsa04024	--gt
OXT	GHSR	hsa04024	--gt
OXT	HCAR1	hsa04024	--gt
OXT	FFAR2	hsa04024	--gt
OXT	HTR1A	hsa04024	--gt
OXT	HTR1B	hsa04024	--gt
OXT	HTR1D	hsa04024	--gt
OXT	HTR1E	hsa04024	--gt
OXT	HTR1F	hsa04024	--gt
OXT	HCAR2	hsa04024	--gt
OXT	NPY1R	hsa04024	--gt
OXT	OXTR	hsa04024	--gt
OXT	SUCNR1	hsa04024	--gt
OXT	PTGER3	hsa04024	--gt
OXT	SSTR1	hsa04024	--gt
OXT	SSTR2	hsa04024	--gt
OXT	SSTR5	hsa04024	--gt
OXT	HCAR3	hsa04024	--gt
OXT	GABBR2	hsa04024	--gt
