gene1	gene2	pathway	interaction
HTR1F	GNAI1	hsa04024	--gt
HTR1F	GNAI2	hsa04024	--gt
HTR1F	GNAI3	hsa04024	--gt
HCAR2	GNAI1	hsa04024	--gt
HCAR2	GNAI2	hsa04024	--gt
HCAR2	GNAI3	hsa04024	--gt
NPY1R	GNAI1	hsa04024	--gt
NPY1R	GNAI2	hsa04024	--gt
NPY1R	GNAI3	hsa04024	--gt
OXTR	GNAI1	hsa04024	--gt
OXTR	GNAI2	hsa04024	--gt
OXTR	GNAI3	hsa04024	--gt
SUCNR1	GNAI1	hsa04024	--gt
SUCNR1	GNAI2	hsa04024	--gt
SUCNR1	GNAI3	hsa04024	--gt
PTGER3	GNAI1	hsa04024	--gt
PTGER3	GNAI2	hsa04024	--gt
PTGER3	GNAI3	hsa04024	--gt
SSTR1	GNAI1	hsa04024	--gt
SSTR1	GNAI2	hsa04024	--gt
SSTR1	GNAI3	hsa04024	--gt
SSTR2	GNAI1	hsa04024	--gt
SSTR2	GNAI2	hsa04024	--gt
SSTR2	GNAI3	hsa04024	--gt
SSTR5	GNAI1	hsa04024	--gt
SSTR5	GNAI2	hsa04024	--gt
SSTR5	GNAI3	hsa04024	--gt
HCAR3	GNAI1	hsa04024	--gt
HCAR3	GNAI2	hsa04024	--gt
HCAR3	GNAI3	hsa04024	--gt
GABBR2	GNAI1	hsa04024	--gt
GABBR2	GNAI2	hsa04024	--gt
GABBR2	GNAI3	hsa04024	--gt
RAPGEF3	RRAS2	hsa04024	--gt
RAPGEF3	RRAS	hsa04024	--gt
RAPGEF4	RRAS2	hsa04024	--gt
RAPGEF4	RRAS	hsa04024	--gt
RRAS2	PLD1	hsa04024	--gt
RRAS2	PLD2	hsa04024	--gt
RRAS	PLD1	hsa04024	--gt
RRAS	PLD2	hsa04024	--gt
RRAS2	PLCE1	hsa04024	--gt
RRAS	PLCE1	hsa04024	--gt
RAPGEF3	MAPK8	hsa04024	--gt
RAPGEF3	MAPK9	hsa04024	--gt
RAPGEF3	MAPK10	hsa04024	--gt
RAPGEF4	MAPK8	hsa04024	--gt
RAPGEF4	MAPK9	hsa04024	--gt
RAPGEF4	MAPK10	hsa04024	--gt
RAPGEF3	RAP1A	hsa04024	--gt
RAPGEF3	RAP1B	hsa04024	--gt
RAPGEF4	RAP1A	hsa04024	--gt
RAPGEF4	RAP1B	hsa04024	--gt
RAP1A	PLCE1	hsa04024	--gt
RAP1B	PLCE1	hsa04024	--gt
RAP1A	TIAM1	hsa04024	--gt
RAP1B	TIAM1	hsa04024	--gt
RAP1A	VAV3	hsa04024	--gt
RAP1A	VAV1	hsa04024	--gt
RAP1A	VAV2	hsa04024	--gt
RAP1B	VAV3	hsa04024	--gt
RAP1B	VAV1	hsa04024	--gt
RAP1B	VAV2	hsa04024	--gt
TIAM1	RAC1	hsa04024	--gt
TIAM1	RAC2	hsa04024	--gt
TIAM1	RAC3	hsa04024	--gt
VAV3	RAC1	hsa04024	--gt
VAV3	RAC2	hsa04024	--gt
VAV3	RAC3	hsa04024	--gt
VAV1	RAC1	hsa04024	--gt
VAV1	RAC2	hsa04024	--gt
VAV1	RAC3	hsa04024	--gt
VAV2	RAC1	hsa04024	--gt
VAV2	RAC2	hsa04024	--gt
VAV2	RAC3	hsa04024	--gt
RAC1	PAK1	hsa04024	--gt
RAC2	PAK1	hsa04024	--gt
RAC3	PAK1	hsa04024	--gt
RAP1A	ARAP3	hsa04024	--gt
RAP1B	ARAP3	hsa04024	--gt
RAP1A	AFDN	hsa04024	--gt
RAP1B	AFDN	hsa04024	--gt
RAP1A	PIK3CA	hsa04024	--gt
RAP1A	PIK3CB	hsa04024	--gt
RAP1A	PIK3CD	hsa04024	--gt
RAP1A	PIK3R1	hsa04024	--gt
RAP1A	PIK3R2	hsa04024	--gt
RAP1A	PIK3R3	hsa04024	--gt
RAP1B	PIK3CA	hsa04024	--gt
RAP1B	PIK3CB	hsa04024	--gt
RAP1B	PIK3CD	hsa04024	--gt
RAP1B	PIK3R1	hsa04024	--gt
RAP1B	PIK3R2	hsa04024	--gt
RAP1B	PIK3R3	hsa04024	--gt
RAP1A	BRAF	hsa04024	--gt
RAP1B	BRAF	hsa04024	--gt
RAP1A	RAF1	hsa04024	--gt
RAP1B	RAF1	hsa04024	--gt
PRKACA	SOX9	hsa04024	--gt
PRKACB	SOX9	hsa04024	--gt
PRKACG	SOX9	hsa04024	--gt
RHOA	ROCK1	hsa04024	--gt
RHOA	ROCK2	hsa04024	--gt
PRKACA	ORAI1	hsa04024	--gt
PRKACB	ORAI1	hsa04024	--gt
PRKACG	ORAI1	hsa04024	--gt
CALML6	ADCY1	hsa04024	--gt
CALML6	ADCY2	hsa04024	--gt
CALML6	ADCY3	hsa04024	--gt
CALML6	ADCY5	hsa04024	--gt
CALML6	ADCY6	hsa04024	--gt
CALML6	ADCY7	hsa04024	--gt
CALML6	ADCY8	hsa04024	--gt
CALML6	ADCY9	hsa04024	--gt
CALML6	ADCY4	hsa04024	--gt
CALML5	ADCY1	hsa04024	--gt
CALML5	ADCY2	hsa04024	--gt
CALML5	ADCY3	hsa04024	--gt
CALML5	ADCY5	hsa04024	--gt
CALML5	ADCY6	hsa04024	--gt
CALML5	ADCY7	hsa04024	--gt
CALML5	ADCY8	hsa04024	--gt
CALML5	ADCY9	hsa04024	--gt
CALML5	ADCY4	hsa04024	--gt
CALM1	ADCY1	hsa04024	--gt
CALM1	ADCY2	hsa04024	--gt
CALM1	ADCY3	hsa04024	--gt
CALM1	ADCY5	hsa04024	--gt
CALM1	ADCY6	hsa04024	--gt
CALM1	ADCY7	hsa04024	--gt
CALM1	ADCY8	hsa04024	--gt
CALM1	ADCY9	hsa04024	--gt
CALM1	ADCY4	hsa04024	--gt
CALM2	ADCY1	hsa04024	--gt
CALM2	ADCY2	hsa04024	--gt
CALM2	ADCY3	hsa04024	--gt
CALM2	ADCY5	hsa04024	--gt
CALM2	ADCY6	hsa04024	--gt
CALM2	ADCY7	hsa04024	--gt
CALM2	ADCY8	hsa04024	--gt
CALM2	ADCY9	hsa04024	--gt
CALM2	ADCY4	hsa04024	--gt
CALM3	ADCY1	hsa04024	--gt
CALM3	ADCY2	hsa04024	--gt
CALM3	ADCY3	hsa04024	--gt
CALM3	ADCY5	hsa04024	--gt
CALM3	ADCY6	hsa04024	--gt
CALM3	ADCY7	hsa04024	--gt
CALM3	ADCY8	hsa04024	--gt
CALM3	ADCY9	hsa04024	--gt
CALM3	ADCY4	hsa04024	--gt
CALML3	ADCY1	hsa04024	--gt
CALML3	ADCY2	hsa04024	--gt
CALML3	ADCY3	hsa04024	--gt
CALML3	ADCY5	hsa04024	--gt
CALML3	ADCY6	hsa04024	--gt
CALML3	ADCY7	hsa04024	--gt
CALML3	ADCY8	hsa04024	--gt
CALML3	ADCY9	hsa04024	--gt
CALML3	ADCY4	hsa04024	--gt
CALML4	ADCY1	hsa04024	--gt
CALML4	ADCY2	hsa04024	--gt
