gene1	gene2	pathway	interaction	type
FFAR2	GNAI3	hsa04024	--gt	P
HTR1A	GNAI1	hsa04024	--gt	P
HTR1A	GNAI2	hsa04024	--gt	P
HTR1A	GNAI3	hsa04024	--gt	P
HTR1B	GNAI1	hsa04024	--gt	P
HTR1B	GNAI2	hsa04024	--gt	P
HTR1B	GNAI3	hsa04024	--gt	P
HTR1D	GNAI1	hsa04024	--gt	P
HTR1D	GNAI2	hsa04024	--gt	P
HTR1D	GNAI3	hsa04024	--gt	P
HTR1E	GNAI1	hsa04024	--gt	P
HTR1E	GNAI2	hsa04024	--gt	P
HTR1E	GNAI3	hsa04024	--gt	P
HTR1F	GNAI1	hsa04024	--gt	P
HTR1F	GNAI2	hsa04024	--gt	P
HTR1F	GNAI3	hsa04024	--gt	P
HCAR2	GNAI1	hsa04024	--gt	P
HCAR2	GNAI2	hsa04024	--gt	P
HCAR2	GNAI3	hsa04024	--gt	P
NPY1R	GNAI1	hsa04024	--gt	P
NPY1R	GNAI2	hsa04024	--gt	P
NPY1R	GNAI3	hsa04024	--gt	P
OXTR	GNAI1	hsa04024	--gt	P
OXTR	GNAI2	hsa04024	--gt	P
OXTR	GNAI3	hsa04024	--gt	P
SUCNR1	GNAI1	hsa04024	--gt	P
SUCNR1	GNAI2	hsa04024	--gt	P
SUCNR1	GNAI3	hsa04024	--gt	P
PTGER3	GNAI1	hsa04024	--gt	P
PTGER3	GNAI2	hsa04024	--gt	P
PTGER3	GNAI3	hsa04024	--gt	P
SSTR1	GNAI1	hsa04024	--gt	P
SSTR1	GNAI2	hsa04024	--gt	P
SSTR1	GNAI3	hsa04024	--gt	P
SSTR2	GNAI1	hsa04024	--gt	P
SSTR2	GNAI2	hsa04024	--gt	P
SSTR2	GNAI3	hsa04024	--gt	P
SSTR5	GNAI1	hsa04024	--gt	P
SSTR5	GNAI2	hsa04024	--gt	P
SSTR5	GNAI3	hsa04024	--gt	P
HCAR3	GNAI1	hsa04024	--gt	P
HCAR3	GNAI2	hsa04024	--gt	P
HCAR3	GNAI3	hsa04024	--gt	P
GABBR2	GNAI1	hsa04024	--gt	P
GABBR2	GNAI2	hsa04024	--gt	P
GABBR2	GNAI3	hsa04024	--gt	P
RAPGEF3	RRAS2	hsa04024	--gt	P
RAPGEF3	RRAS	hsa04024	--gt	P
RAPGEF4	RRAS2	hsa04024	--gt	P
RAPGEF4	RRAS	hsa04024	--gt	P
RRAS2	PLD1	hsa04024	--gt	P
RRAS2	PLD2	hsa04024	--gt	P
RRAS	PLD1	hsa04024	--gt	P
RRAS	PLD2	hsa04024	--gt	P
RRAS2	PLCE1	hsa04024	--gt	P
RRAS	PLCE1	hsa04024	--gt	P
RAPGEF3	MAPK8	hsa04024	--gt	P
RAPGEF3	MAPK9	hsa04024	--gt	P
RAPGEF3	MAPK10	hsa04024	--gt	P
RAPGEF4	MAPK8	hsa04024	--gt	P
RAPGEF4	MAPK9	hsa04024	--gt	P
RAPGEF4	MAPK10	hsa04024	--gt	P
RAPGEF3	RAP1A	hsa04024	--gt	P
RAPGEF3	RAP1B	hsa04024	--gt	P
RAPGEF4	RAP1A	hsa04024	--gt	P
RAPGEF4	RAP1B	hsa04024	--gt	P
RAP1A	PLCE1	hsa04024	--gt	P
RAP1B	PLCE1	hsa04024	--gt	P
RAP1A	TIAM1	hsa04024	--gt	P
RAP1B	TIAM1	hsa04024	--gt	P
RAP1A	VAV3	hsa04024	--gt	P
RAP1A	VAV1	hsa04024	--gt	P
RAP1A	VAV2	hsa04024	--gt	P
RAP1B	VAV3	hsa04024	--gt	P
RAP1B	VAV1	hsa04024	--gt	P
RAP1B	VAV2	hsa04024	--gt	P
TIAM1	RAC1	hsa04024	--gt	P
TIAM1	RAC2	hsa04024	--gt	P
TIAM1	RAC3	hsa04024	--gt	P
VAV3	RAC1	hsa04024	--gt	P
VAV3	RAC2	hsa04024	--gt	P
VAV3	RAC3	hsa04024	--gt	P
VAV1	RAC1	hsa04024	--gt	P
VAV1	RAC2	hsa04024	--gt	P
VAV1	RAC3	hsa04024	--gt	P
VAV2	RAC1	hsa04024	--gt	P
VAV2	RAC2	hsa04024	--gt	P
VAV2	RAC3	hsa04024	--gt	P
RAC1	PAK1	hsa04024	--gt	P
RAC2	PAK1	hsa04024	--gt	P
RAC3	PAK1	hsa04024	--gt	P
RAP1A	ARAP3	hsa04024	--gt	P
RAP1B	ARAP3	hsa04024	--gt	P
RAP1A	AFDN	hsa04024	--gt	P
RAP1B	AFDN	hsa04024	--gt	P
RAP1A	PIK3CA	hsa04024	--gt	P
RAP1A	PIK3CB	hsa04024	--gt	P
RAP1A	PIK3CD	hsa04024	--gt	P
RAP1A	PIK3R1	hsa04024	--gt	P
RAP1A	PIK3R2	hsa04024	--gt	P
RAP1A	PIK3R3	hsa04024	--gt	P
RAP1B	PIK3CA	hsa04024	--gt	P
RAP1B	PIK3CB	hsa04024	--gt	P
RAP1B	PIK3CD	hsa04024	--gt	P
RAP1B	PIK3R1	hsa04024	--gt	P
RAP1B	PIK3R2	hsa04024	--gt	P
RAP1B	PIK3R3	hsa04024	--gt	P
RAP1A	BRAF	hsa04024	--gt	P
RAP1B	BRAF	hsa04024	--gt	P
RAP1A	RAF1	hsa04024	--gt	P
RAP1B	RAF1	hsa04024	--gt	P
PRKACA	SOX9	hsa04024	--gt	P
PRKACB	SOX9	hsa04024	--gt	P
PRKACG	SOX9	hsa04024	--gt	P
RHOA	ROCK1	hsa04024	--gt	P
RHOA	ROCK2	hsa04024	--gt	P
PRKACA	ORAI1	hsa04024	--gt	P
PRKACB	ORAI1	hsa04024	--gt	P
PRKACG	ORAI1	hsa04024	--gt	P
CALML6	ADCY1	hsa04024	--gt	P
CALML6	ADCY2	hsa04024	--gt	P
CALML6	ADCY3	hsa04024	--gt	P
CALML6	ADCY5	hsa04024	--gt	P
CALML6	ADCY6	hsa04024	--gt	P
CALML6	ADCY7	hsa04024	--gt	P
CALML6	ADCY8	hsa04024	--gt	P
CALML6	ADCY9	hsa04024	--gt	P
CALML6	ADCY4	hsa04024	--gt	P
CALML5	ADCY1	hsa04024	--gt	P
CALML5	ADCY2	hsa04024	--gt	P
CALML5	ADCY3	hsa04024	--gt	P
CALML5	ADCY5	hsa04024	--gt	P
CALML5	ADCY6	hsa04024	--gt	P
CALML5	ADCY7	hsa04024	--gt	P
CALML5	ADCY8	hsa04024	--gt	P
CALML5	ADCY9	hsa04024	--gt	P
CALML5	ADCY4	hsa04024	--gt	P
CALM1	ADCY1	hsa04024	--gt	P
CALM1	ADCY2	hsa04024	--gt	P
CALM1	ADCY3	hsa04024	--gt	P
CALM1	ADCY5	hsa04024	--gt	P
CALM1	ADCY6	hsa04024	--gt	P
CALM1	ADCY7	hsa04024	--gt	P
CALM1	ADCY8	hsa04024	--gt	P
CALM1	ADCY9	hsa04024	--gt	P
CALM1	ADCY4	hsa04024	--gt	P
CALM2	ADCY1	hsa04024	--gt	P
CALM2	ADCY2	hsa04024	--gt	P
CALM2	ADCY3	hsa04024	--gt	P
CALM2	ADCY5	hsa04024	--gt	P
CALM2	ADCY6	hsa04024	--gt	P
CALM2	ADCY7	hsa04024	--gt	P
CALM2	ADCY8	hsa04024	--gt	P
CALM2	ADCY9	hsa04024	--gt	P
CALM2	ADCY4	hsa04024	--gt	P
CALM3	ADCY1	hsa04024	--gt	P
CALM3	ADCY2	hsa04024	--gt	P
CALM3	ADCY3	hsa04024	--gt	P
CALM3	ADCY5	hsa04024	--gt	P
