gene1	gene2	pathway	interaction	type
PIK3CB	AKT1	hsa04024	--gt	P
PIK3CB	AKT2	hsa04024	--gt	P
PIK3CD	AKT3	hsa04024	--gt	P
PIK3CD	AKT1	hsa04024	--gt	P
PIK3CD	AKT2	hsa04024	--gt	P
PIK3R1	AKT3	hsa04024	--gt	P
PIK3R1	AKT1	hsa04024	--gt	P
PIK3R1	AKT2	hsa04024	--gt	P
PIK3R2	AKT3	hsa04024	--gt	P
PIK3R2	AKT1	hsa04024	--gt	P
PIK3R2	AKT2	hsa04024	--gt	P
PIK3R3	AKT3	hsa04024	--gt	P
PIK3R3	AKT1	hsa04024	--gt	P
PIK3R3	AKT2	hsa04024	--gt	P
PRKACA	GLI3	hsa04024	--|	N
PRKACB	GLI3	hsa04024	--|	N
PRKACG	GLI3	hsa04024	--|	N
CAMK4	PDE10A	hsa04024	--|	N
CAMK4	PDE3A	hsa04024	--|	N
CAMK4	PDE3B	hsa04024	--|	N
CAMK4	PDE4A	hsa04024	--|	N
CAMK4	PDE4B	hsa04024	--|	N
CAMK4	PDE4C	hsa04024	--|	N
CAMK4	PDE4D	hsa04024	--|	N
CAMK2A	PDE10A	hsa04024	--|	N
CAMK2A	PDE3A	hsa04024	--|	N
CAMK2A	PDE3B	hsa04024	--|	N
CAMK2A	PDE4A	hsa04024	--|	N
CAMK2A	PDE4B	hsa04024	--|	N
CAMK2A	PDE4C	hsa04024	--|	N
CAMK2A	PDE4D	hsa04024	--|	N
CAMK2B	PDE10A	hsa04024	--|	N
CAMK2B	PDE3A	hsa04024	--|	N
CAMK2B	PDE3B	hsa04024	--|	N
CAMK2B	PDE4A	hsa04024	--|	N
CAMK2B	PDE4B	hsa04024	--|	N
CAMK2B	PDE4C	hsa04024	--|	N
CAMK2B	PDE4D	hsa04024	--|	N
CAMK2D	PDE10A	hsa04024	--|	N
CAMK2D	PDE3A	hsa04024	--|	N
CAMK2D	PDE3B	hsa04024	--|	N
CAMK2D	PDE4A	hsa04024	--|	N
CAMK2D	PDE4B	hsa04024	--|	N
CAMK2D	PDE4C	hsa04024	--|	N
CAMK2D	PDE4D	hsa04024	--|	N
CAMK2G	PDE10A	hsa04024	--|	N
CAMK2G	PDE3A	hsa04024	--|	N
CAMK2G	PDE3B	hsa04024	--|	N
CAMK2G	PDE4A	hsa04024	--|	N
CAMK2G	PDE4B	hsa04024	--|	N
CAMK2G	PDE4C	hsa04024	--|	N
CAMK2G	PDE4D	hsa04024	--|	N
BRAF	MAP2K1	hsa04024	--gt	P
BRAF	MAP2K2	hsa04024	--gt	P
PRKACA	RAF1	hsa04024	--|	N
PRKACB	RAF1	hsa04024	--|	N
PRKACG	RAF1	hsa04024	--|	N
PRKACA	LIPE	hsa04024	--gt	P
PRKACB	LIPE	hsa04024	--gt	P
PRKACG	LIPE	hsa04024	--gt	P
PRKACA	TNNI3	hsa04024	--gt	P
PRKACB	TNNI3	hsa04024	--gt	P
PRKACG	TNNI3	hsa04024	--gt	P
ADCYAP1	ADCYAP1R1	hsa04024	--gt	P
ADCYAP1	ADORA2A	hsa04024	--gt	P
ADCYAP1	GPR119	hsa04024	--gt	P
ADCYAP1	ADRB1	hsa04024	--gt	P
ADCYAP1	DRD1	hsa04024	--gt	P
ADCYAP1	DRD5	hsa04024	--gt	P
ADCYAP1	FSHR	hsa04024	--gt	P
ADCYAP1	GIPR	hsa04024	--gt	P
ADCYAP1	GLP1R	hsa04024	--gt	P
ADCYAP1	HTR4	hsa04024	--gt	P
ADCYAP1	HTR6	hsa04024	--gt	P
ADCYAP1	LHCGR	hsa04024	--gt	P
ADCYAP1	MC2R	hsa04024	--gt	P
ADCYAP1	NPR1	hsa04024	--gt	P
ADCYAP1	PTGER2	hsa04024	--gt	P
ADCYAP1	TSHR	hsa04024	--gt	P
ADCYAP1	VIPR2	hsa04024	--gt	P
VIP	ADCYAP1R1	hsa04024	--gt	P
VIP	ADORA2A	hsa04024	--gt	P
VIP	GPR119	hsa04024	--gt	P
VIP	ADRB1	hsa04024	--gt	P
VIP	DRD1	hsa04024	--gt	P
VIP	DRD5	hsa04024	--gt	P
VIP	FSHR	hsa04024	--gt	P
VIP	GIPR	hsa04024	--gt	P
VIP	GLP1R	hsa04024	--gt	P
VIP	HTR4	hsa04024	--gt	P
VIP	HTR6	hsa04024	--gt	P
VIP	LHCGR	hsa04024	--gt	P
VIP	MC2R	hsa04024	--gt	P
VIP	NPR1	hsa04024	--gt	P
VIP	PTGER2	hsa04024	--gt	P
VIP	TSHR	hsa04024	--gt	P
VIP	VIPR2	hsa04024	--gt	P
TSHB	ADCYAP1R1	hsa04024	--gt	P
TSHB	ADORA2A	hsa04024	--gt	P
TSHB	GPR119	hsa04024	--gt	P
TSHB	ADRB1	hsa04024	--gt	P
TSHB	DRD1	hsa04024	--gt	P
TSHB	DRD5	hsa04024	--gt	P
TSHB	FSHR	hsa04024	--gt	P
TSHB	GIPR	hsa04024	--gt	P
TSHB	GLP1R	hsa04024	--gt	P
TSHB	HTR4	hsa04024	--gt	P
TSHB	HTR6	hsa04024	--gt	P
TSHB	LHCGR	hsa04024	--gt	P
TSHB	MC2R	hsa04024	--gt	P
TSHB	NPR1	hsa04024	--gt	P
TSHB	PTGER2	hsa04024	--gt	P
TSHB	TSHR	hsa04024	--gt	P
TSHB	VIPR2	hsa04024	--gt	P
POMC	ADCYAP1R1	hsa04024	--gt	P
POMC	ADORA2A	hsa04024	--gt	P
POMC	GPR119	hsa04024	--gt	P
POMC	ADRB1	hsa04024	--gt	P
POMC	DRD1	hsa04024	--gt	P
POMC	DRD5	hsa04024	--gt	P
POMC	FSHR	hsa04024	--gt	P
POMC	GIPR	hsa04024	--gt	P
POMC	GLP1R	hsa04024	--gt	P
POMC	HTR4	hsa04024	--gt	P
POMC	HTR6	hsa04024	--gt	P
POMC	LHCGR	hsa04024	--gt	P
POMC	MC2R	hsa04024	--gt	P
POMC	NPR1	hsa04024	--gt	P
POMC	PTGER2	hsa04024	--gt	P
POMC	TSHR	hsa04024	--gt	P
POMC	VIPR2	hsa04024	--gt	P
GCG	ADCYAP1R1	hsa04024	--gt	P
GCG	ADORA2A	hsa04024	--gt	P
GCG	GPR119	hsa04024	--gt	P
GCG	ADRB1	hsa04024	--gt	P
GCG	DRD1	hsa04024	--gt	P
GCG	DRD5	hsa04024	--gt	P
GCG	FSHR	hsa04024	--gt	P
GCG	GIPR	hsa04024	--gt	P
GCG	GLP1R	hsa04024	--gt	P
GCG	HTR4	hsa04024	--gt	P
GCG	HTR6	hsa04024	--gt	P
GCG	LHCGR	hsa04024	--gt	P
GCG	MC2R	hsa04024	--gt	P
GCG	NPR1	hsa04024	--gt	P
GCG	PTGER2	hsa04024	--gt	P
GCG	TSHR	hsa04024	--gt	P
GCG	VIPR2	hsa04024	--gt	P
GIP	ADCYAP1R1	hsa04024	--gt	P
GIP	ADORA2A	hsa04024	--gt	P
GIP	GPR119	hsa04024	--gt	P
GIP	ADRB1	hsa04024	--gt	P
GIP	DRD1	hsa04024	--gt	P
GIP	DRD5	hsa04024	--gt	P
GIP	FSHR	hsa04024	--gt	P
GIP	GIPR	hsa04024	--gt	P
GIP	GLP1R	hsa04024	--gt	P
GIP	HTR4	hsa04024	--gt	P
GIP	HTR6	hsa04024	--gt	P
GIP	LHCGR	hsa04024	--gt	P
GIP	MC2R	hsa04024	--gt	P
GIP	NPR1	hsa04024	--gt	P
GIP	PTGER2	hsa04024	--gt	P
GIP	TSHR	hsa04024	--gt	P
GIP	VIPR2	hsa04024	--gt	P
NPPA	ADCYAP1R1	hsa04024	--gt	P
NPPA	ADORA2A	hsa04024	--gt	P
NPPA	GPR119	hsa04024	--gt	P
NPPA	ADRB1	hsa04024	--gt	P
NPPA	DRD1	hsa04024	--gt	P
NPPA	DRD5	hsa04024	--gt	P
NPPA	FSHR	hsa04024	--gt	P
NPPA	GIPR	hsa04024	--gt	P
NPPA	GLP1R	hsa04024	--gt	P
NPPA	HTR4	hsa04024	--gt	P
NPPA	HTR6	hsa04024	--gt	P
NPPA	LHCGR	hsa04024	--gt	P
NPPA	MC2R	hsa04024	--gt	P
NPPA	NPR1	hsa04024	--gt	P
NPPA	PTGER2	hsa04024	--gt	P
NPPA	TSHR	hsa04024	--gt	P
NPPA	VIPR2	hsa04024	--gt	P
EDN1	CHRM1	hsa04024	--gt	P
EDN1	CHRM2	hsa04024	--gt	P
EDN1	ADORA1	hsa04024	--gt	P
EDN1	ADRB2	hsa04024	--gt	P
EDN1	DRD2	hsa04024	--gt	P
EDN1	EDNRA	hsa04024	--gt	P
EDN1	GABBR1	hsa04024	--gt	P
EDN1	GHSR	hsa04024	--gt	P
EDN1	HCAR1	hsa04024	--gt	P
EDN1	FFAR2	hsa04024	--gt	P
EDN1	HTR1A	hsa04024	--gt	P
EDN1	HTR1B	hsa04024	--gt	P
EDN1	HTR1D	hsa04024	--gt	P
EDN1	HTR1E	hsa04024	--gt	P
EDN1	HTR1F	hsa04024	--gt	P
EDN1	HCAR2	hsa04024	--gt	P
EDN1	NPY1R	hsa04024	--gt	P
EDN1	OXTR	hsa04024	--gt	P
EDN1	SUCNR1	hsa04024	--gt	P
EDN1	PTGER3	hsa04024	--gt	P
EDN1	SSTR1	hsa04024	--gt	P
EDN1	SSTR2	hsa04024	--gt	P
EDN1	SSTR5	hsa04024	--gt	P
EDN1	HCAR3	hsa04024	--gt	P
EDN1	GABBR2	hsa04024	--gt	P
EDN2	CHRM1	hsa04024	--gt	P
EDN2	CHRM2	hsa04024	--gt	P
EDN2	ADORA1	hsa04024	--gt	P
EDN2	ADRB2	hsa04024	--gt	P
EDN2	DRD2	hsa04024	--gt	P
EDN2	EDNRA	hsa04024	--gt	P
EDN2	GABBR1	hsa04024	--gt	P
EDN2	GHSR	hsa04024	--gt	P
EDN2	HCAR1	hsa04024	--gt	P
EDN2	FFAR2	hsa04024	--gt	P
EDN2	HTR1A	hsa04024	--gt	P
EDN2	HTR1B	hsa04024	--gt	P
EDN2	HTR1D	hsa04024	--gt	P
EDN2	HTR1E	hsa04024	--gt	P
EDN2	HTR1F	hsa04024	--gt	P
EDN2	HCAR2	hsa04024	--gt	P
EDN2	NPY1R	hsa04024	--gt	P
EDN2	OXTR	hsa04024	--gt	P
EDN2	SUCNR1	hsa04024	--gt	P
EDN2	PTGER3	hsa04024	--gt	P
EDN2	SSTR1	hsa04024	--gt	P
EDN2	SSTR2	hsa04024	--gt	P
EDN2	SSTR5	hsa04024	--gt	P
EDN2	HCAR3	hsa04024	--gt	P
EDN2	GABBR2	hsa04024	--gt	P
EDN3	CHRM1	hsa04024	--gt	P
EDN3	CHRM2	hsa04024	--gt	P
EDN3	ADORA1	hsa04024	--gt	P
EDN3	ADRB2	hsa04024	--gt	P
EDN3	DRD2	hsa04024	--gt	P
EDN3	EDNRA	hsa04024	--gt	P
EDN3	GABBR1	hsa04024	--gt	P
EDN3	GHSR	hsa04024	--gt	P
EDN3	HCAR1	hsa04024	--gt	P
EDN3	FFAR2	hsa04024	--gt	P
EDN3	HTR1A	hsa04024	--gt	P
EDN3	HTR1B	hsa04024	--gt	P
EDN3	HTR1D	hsa04024	--gt	P
EDN3	HTR1E	hsa04024	--gt	P
EDN3	HTR1F	hsa04024	--gt	P
EDN3	HCAR2	hsa04024	--gt	P
EDN3	NPY1R	hsa04024	--gt	P
EDN3	OXTR	hsa04024	--gt	P
EDN3	SUCNR1	hsa04024	--gt	P
EDN3	PTGER3	hsa04024	--gt	P
EDN3	SSTR1	hsa04024	--gt	P
EDN3	SSTR2	hsa04024	--gt	P
EDN3	SSTR5	hsa04024	--gt	P
EDN3	HCAR3	hsa04024	--gt	P
EDN3	GABBR2	hsa04024	--gt	P
SST	CHRM1	hsa04024	--gt	P
SST	CHRM2	hsa04024	--gt	P
SST	ADORA1	hsa04024	--gt	P
SST	ADRB2	hsa04024	--gt	P
SST	DRD2	hsa04024	--gt	P
SST	EDNRA	hsa04024	--gt	P
SST	GABBR1	hsa04024	--gt	P
SST	GHSR	hsa04024	--gt	P
SST	HCAR1	hsa04024	--gt	P
SST	FFAR2	hsa04024	--gt	P
SST	HTR1A	hsa04024	--gt	P
SST	HTR1B	hsa04024	--gt	P
SST	HTR1D	hsa04024	--gt	P
SST	HTR1E	hsa04024	--gt	P
SST	HTR1F	hsa04024	--gt	P
SST	HCAR2	hsa04024	--gt	P
SST	NPY1R	hsa04024	--gt	P
SST	OXTR	hsa04024	--gt	P
SST	SUCNR1	hsa04024	--gt	P
SST	PTGER3	hsa04024	--gt	P
SST	SSTR1	hsa04024	--gt	P
SST	SSTR2	hsa04024	--gt	P
SST	SSTR5	hsa04024	--gt	P
SST	HCAR3	hsa04024	--gt	P
SST	GABBR2	hsa04024	--gt	P
OXT	CHRM1	hsa04024	--gt	P
OXT	CHRM2	hsa04024	--gt	P
OXT	ADORA1	hsa04024	--gt	P
OXT	ADRB2	hsa04024	--gt	P
OXT	DRD2	hsa04024	--gt	P
OXT	EDNRA	hsa04024	--gt	P
OXT	GABBR1	hsa04024	--gt	P
OXT	GHSR	hsa04024	--gt	P
OXT	HCAR1	hsa04024	--gt	P
OXT	FFAR2	hsa04024	--gt	P
OXT	HTR1A	hsa04024	--gt	P
OXT	HTR1B	hsa04024	--gt	P
OXT	HTR1D	hsa04024	--gt	P
OXT	HTR1E	hsa04024	--gt	P
OXT	HTR1F	hsa04024	--gt	P
OXT	HCAR2	hsa04024	--gt	P
OXT	NPY1R	hsa04024	--gt	P
OXT	OXTR	hsa04024	--gt	P
OXT	SUCNR1	hsa04024	--gt	P
OXT	PTGER3	hsa04024	--gt	P
OXT	SSTR1	hsa04024	--gt	P
OXT	SSTR2	hsa04024	--gt	P
OXT	SSTR5	hsa04024	--gt	P
OXT	HCAR3	hsa04024	--gt	P
OXT	GABBR2	hsa04024	--gt	P
