gene1	gene2	interaction	type	type.1
DUSP7	MAPK3	hsa04010	--|	N
DUSP8	MAPK1	hsa04010	--|	N
DUSP8	MAPK3	hsa04010	--|	N
DUSP9	MAPK1	hsa04010	--|	N
DUSP9	MAPK3	hsa04010	--|	N
DUSP16	MAPK1	hsa04010	--|	N
DUSP16	MAPK3	hsa04010	--|	N
DUSP10	MAPK8	hsa04010	--|	N
DUSP10	MAPK9	hsa04010	--|	N
DUSP10	MAPK10	hsa04010	--|	N
DUSP2	MAPK8	hsa04010	--|	N
DUSP2	MAPK9	hsa04010	--|	N
DUSP2	MAPK10	hsa04010	--|	N
DUSP4	MAPK8	hsa04010	--|	N
DUSP4	MAPK9	hsa04010	--|	N
DUSP4	MAPK10	hsa04010	--|	N
DUSP5	MAPK8	hsa04010	--|	N
DUSP5	MAPK9	hsa04010	--|	N
DUSP5	MAPK10	hsa04010	--|	N
DUSP7	MAPK8	hsa04010	--|	N
DUSP7	MAPK9	hsa04010	--|	N
DUSP7	MAPK10	hsa04010	--|	N
DUSP8	MAPK8	hsa04010	--|	N
DUSP8	MAPK9	hsa04010	--|	N
DUSP8	MAPK10	hsa04010	--|	N
DUSP9	MAPK8	hsa04010	--|	N
DUSP9	MAPK9	hsa04010	--|	N
DUSP9	MAPK10	hsa04010	--|	N
DUSP16	MAPK8	hsa04010	--|	N
DUSP16	MAPK9	hsa04010	--|	N
DUSP16	MAPK10	hsa04010	--|	N
DUSP10	MAPK14	hsa04010	--|	N
DUSP10	MAPK11	hsa04010	--|	N
DUSP10	MAPK13	hsa04010	--|	N
DUSP10	MAPK12	hsa04010	--|	N
DUSP2	MAPK14	hsa04010	--|	N
DUSP2	MAPK11	hsa04010	--|	N
DUSP2	MAPK13	hsa04010	--|	N
DUSP2	MAPK12	hsa04010	--|	N
DUSP4	MAPK14	hsa04010	--|	N
DUSP4	MAPK11	hsa04010	--|	N
DUSP4	MAPK13	hsa04010	--|	N
DUSP4	MAPK12	hsa04010	--|	N
DUSP5	MAPK14	hsa04010	--|	N
DUSP5	MAPK11	hsa04010	--|	N
DUSP5	MAPK13	hsa04010	--|	N
DUSP5	MAPK12	hsa04010	--|	N
DUSP7	MAPK14	hsa04010	--|	N
DUSP7	MAPK11	hsa04010	--|	N
DUSP7	MAPK13	hsa04010	--|	N
DUSP7	MAPK12	hsa04010	--|	N
DUSP8	MAPK14	hsa04010	--|	N
DUSP8	MAPK11	hsa04010	--|	N
DUSP8	MAPK13	hsa04010	--|	N
DUSP8	MAPK12	hsa04010	--|	N
DUSP9	MAPK14	hsa04010	--|	N
DUSP9	MAPK11	hsa04010	--|	N
DUSP9	MAPK13	hsa04010	--|	N
DUSP9	MAPK12	hsa04010	--|	N
DUSP16	MAPK14	hsa04010	--|	N
DUSP16	MAPK11	hsa04010	--|	N
DUSP16	MAPK13	hsa04010	--|	N
DUSP16	MAPK12	hsa04010	--|	N
DUSP3	MAPK8	hsa04010	--|	N
DUSP3	MAPK9	hsa04010	--|	N
DUSP3	MAPK10	hsa04010	--|	N
PTPN7	MAPK8	hsa04010	--|	N
PTPN7	MAPK9	hsa04010	--|	N
PTPN7	MAPK10	hsa04010	--|	N
PTPRR	MAPK8	hsa04010	--|	N
PTPRR	MAPK9	hsa04010	--|	N
PTPRR	MAPK10	hsa04010	--|	N
DUSP3	MAPK14	hsa04010	--|	N
DUSP3	MAPK11	hsa04010	--|	N
DUSP3	MAPK13	hsa04010	--|	N
DUSP3	MAPK12	hsa04010	--|	N
PTPN7	MAPK14	hsa04010	--|	N
PTPN7	MAPK11	hsa04010	--|	N
PTPN7	MAPK13	hsa04010	--|	N
PTPN7	MAPK12	hsa04010	--|	N
PTPRR	MAPK14	hsa04010	--|	N
PTPRR	MAPK11	hsa04010	--|	N
PTPRR	MAPK13	hsa04010	--|	N
PTPRR	MAPK12	hsa04010	--|	N
PPM1A	MAP2K3	hsa04010	--|	N
PPM1A	MAP2K6	hsa04010	--|	N
PPM1A	MAP2K7	hsa04010	--|	N
PPM1A	MAP2K4	hsa04010	--|	N
PPP5D1	MAP3K5	hsa04010	--|	N
PPP5C	MAP3K5	hsa04010	--|	N
PPM1B	MAP3K7	hsa04010	--|	N
MECOM	MAPK8	hsa04010	--|	N
MECOM	MAPK9	hsa04010	--|	N
MECOM	MAPK10	hsa04010	--|	N
HSPA1A	MAPK8	hsa04010	--|	N
HSPA1A	MAPK9	hsa04010	--|	N
HSPA1A	MAPK10	hsa04010	--|	N
HSPA1B	MAPK8	hsa04010	--|	N
HSPA1B	MAPK9	hsa04010	--|	N
HSPA1B	MAPK10	hsa04010	--|	N
HSPA1L	MAPK8	hsa04010	--|	N
HSPA1L	MAPK9	hsa04010	--|	N
HSPA1L	MAPK10	hsa04010	--|	N
HSPA2	MAPK8	hsa04010	--|	N
HSPA2	MAPK9	hsa04010	--|	N
HSPA2	MAPK10	hsa04010	--|	N
HSPA6	MAPK8	hsa04010	--|	N
HSPA6	MAPK9	hsa04010	--|	N
HSPA6	MAPK10	hsa04010	--|	N
HSPA8	MAPK8	hsa04010	--|	N
HSPA8	MAPK9	hsa04010	--|	N
HSPA8	MAPK10	hsa04010	--|	N
CD14	TAB1	hsa04010	..gt	M
MAP3K14	NFKB1	hsa04010	..gt	M
MAP3K14	NFKB2	hsa04010	..gt	M
MAP3K14	RELA	hsa04010	..gt	M
MAP3K14	RELB	hsa04010	..gt	M
CHUK	NFKB1	hsa04010	..gt	M
CHUK	NFKB2	hsa04010	..gt	M
CHUK	RELA	hsa04010	..gt	M
CHUK	RELB	hsa04010	..gt	M
IKBKB	NFKB1	hsa04010	..gt	M
IKBKB	NFKB2	hsa04010	..gt	M
IKBKB	RELA	hsa04010	..gt	M
IKBKB	RELB	hsa04010	..gt	M
IKBKG	NFKB1	hsa04010	..gt	M
IKBKG	NFKB2	hsa04010	..gt	M
IKBKG	RELA	hsa04010	..gt	M
IKBKG	RELB	hsa04010	..gt	M
CACNG3	RASGRF1	hsa04010	28	M
CACNG3	RASGRF2	hsa04010	28	M
CACNA2D3	RASGRF1	hsa04010	28	M
CACNA2D3	RASGRF2	hsa04010	28	M
CACNG8	RASGRF1	hsa04010	28	M
CACNG8	RASGRF2	hsa04010	28	M
CACNA1A	RASGRF1	hsa04010	28	M
CACNA1A	RASGRF2	hsa04010	28	M
CACNA1C	RASGRF1	hsa04010	28	M
CACNA1C	RASGRF2	hsa04010	28	M
CACNA1D	RASGRF1	hsa04010	28	M
CACNA1D	RASGRF2	hsa04010	28	M
CACNA1E	RASGRF1	hsa04010	28	M
CACNA1E	RASGRF2	hsa04010	28	M
CACNA1F	RASGRF1	hsa04010	28	M
CACNA1F	RASGRF2	hsa04010	28	M
CACNA2D1	RASGRF1	hsa04010	28	M
CACNA2D1	RASGRF2	hsa04010	28	M
CACNB1	RASGRF1	hsa04010	28	M
CACNB1	RASGRF2	hsa04010	28	M
CACNB2	RASGRF1	hsa04010	28	M
CACNB2	RASGRF2	hsa04010	28	M
CACNB3	RASGRF1	hsa04010	28	M
CACNB3	RASGRF2	hsa04010	28	M
CACNB4	RASGRF1	hsa04010	28	M
CACNB4	RASGRF2	hsa04010	28	M
CACNA1I	RASGRF1	hsa04010	28	M
CACNA1I	RASGRF2	hsa04010	28	M
CACNA1H	RASGRF1	hsa04010	28	M
CACNA1H	RASGRF2	hsa04010	28	M
CACNA2D2	RASGRF1	hsa04010	28	M
CACNA2D2	RASGRF2	hsa04010	28	M
CACNA2D4	RASGRF1	hsa04010	28	M
CACNA2D4	RASGRF2	hsa04010	28	M
CACNG3	RASGRP1	hsa04010	28	M
CACNG3	RASGRP2	hsa04010	28	M
CACNG3	RASGRP4	hsa04010	28	M
CACNG3	RASGRP3	hsa04010	28	M
CACNA2D3	RASGRP1	hsa04010	28	M
CACNA2D3	RASGRP2	hsa04010	28	M
CACNA2D3	RASGRP4	hsa04010	28	M
CACNA2D3	RASGRP3	hsa04010	28	M
CACNG8	RASGRP1	hsa04010	28	M
CACNG8	RASGRP2	hsa04010	28	M
CACNG8	RASGRP4	hsa04010	28	M
CACNG8	RASGRP3	hsa04010	28	M
CACNA1A	RASGRP1	hsa04010	28	M
CACNA1A	RASGRP2	hsa04010	28	M
CACNA1A	RASGRP4	hsa04010	28	M
CACNA1A	RASGRP3	hsa04010	28	M
CACNA1C	RASGRP1	hsa04010	28	M
CACNA1C	RASGRP2	hsa04010	28	M
CACNA1C	RASGRP4	hsa04010	28	M
CACNA1C	RASGRP3	hsa04010	28	M
CACNA1D	RASGRP1	hsa04010	28	M
CACNA1D	RASGRP2	hsa04010	28	M
CACNA1D	RASGRP4	hsa04010	28	M
CACNA1D	RASGRP3	hsa04010	28	M
CACNA1E	RASGRP1	hsa04010	28	M
CACNA1E	RASGRP2	hsa04010	28	M
CACNA1E	RASGRP4	hsa04010	28	M
CACNA1E	RASGRP3	hsa04010	28	M
CACNA1F	RASGRP1	hsa04010	28	M
CACNA1F	RASGRP2	hsa04010	28	M
CACNA1F	RASGRP4	hsa04010	28	M
CACNA1F	RASGRP3	hsa04010	28	M
CACNA2D1	RASGRP1	hsa04010	28	M
CACNA2D1	RASGRP2	hsa04010	28	M
CACNA2D1	RASGRP4	hsa04010	28	M
CACNA2D1	RASGRP3	hsa04010	28	M
CACNB1	RASGRP1	hsa04010	28	M
CACNB1	RASGRP2	hsa04010	28	M
CACNB1	RASGRP4	hsa04010	28	M
CACNB1	RASGRP3	hsa04010	28	M
CACNB2	RASGRP1	hsa04010	28	M
CACNB2	RASGRP2	hsa04010	28	M
CACNB2	RASGRP4	hsa04010	28	M
CACNB2	RASGRP3	hsa04010	28	M
CACNB3	RASGRP1	hsa04010	28	M
CACNB3	RASGRP2	hsa04010	28	M
CACNB3	RASGRP4	hsa04010	28	M
CACNB3	RASGRP3	hsa04010	28	M
CACNB4	RASGRP1	hsa04010	28	M
CACNB4	RASGRP2	hsa04010	28	M
CACNB4	RASGRP4	hsa04010	28	M
CACNB4	RASGRP3	hsa04010	28	M
CACNA1I	RASGRP1	hsa04010	28	M
CACNA1I	RASGRP2	hsa04010	28	M
CACNA1I	RASGRP4	hsa04010	28	M
CACNA1I	RASGRP3	hsa04010	28	M
CACNA1H	RASGRP1	hsa04010	28	M
CACNA1H	RASGRP2	hsa04010	28	M
CACNA1H	RASGRP4	hsa04010	28	M
CACNA1H	RASGRP3	hsa04010	28	M
CACNA2D2	RASGRP1	hsa04010	28	M
CACNA2D2	RASGRP2	hsa04010	28	M
CACNA2D2	RASGRP4	hsa04010	28	M
CACNA2D2	RASGRP3	hsa04010	28	M
CACNA2D4	RASGRP1	hsa04010	28	M
CACNA2D4	RASGRP2	hsa04010	28	M
CACNA2D4	RASGRP4	hsa04010	28	M
CACNA2D4	RASGRP3	hsa04010	28	M
CASP3	PAK1	hsa04010	--gt	P
CASP3	PAK2	hsa04010	--gt	P
CASP3	MAP3K1	hsa04010	--gt	P
MAP3K14	CHUK	hsa04010	+p	M
MAP3K14	IKBKB	hsa04010	+p	M
MAP3K14	IKBKG	hsa04010	+p	M
TAB1	MAP3K7	hsa04010	--gt	P
TAB2	MAP3K7	hsa04010	--gt	P
TRADD	TRAF2	hsa04010	--gt	P
TRADD	CASP3	hsa04010	--gt	P
IL1R1	MYD88	hsa04010	--gt	P
IL1RAP	MYD88	hsa04010	--gt	P
MYD88	IRAK1	hsa04010	--gt	P
MYD88	IRAK4	hsa04010	--gt	P
TRAF2	TAB1	hsa04010	--gt	P
IRAK1	TRAF6	hsa04010	--gt	P
IRAK4	TRAF6	hsa04010	--gt	P
TRAF6	TAB1	hsa04010	---	C
CSF1	CSF1R	hsa04010	--gt	P
CSF1	EPHA2	hsa04010	--gt	P
CSF1	ERBB2	hsa04010	--gt	P
CSF1	ERBB3	hsa04010	--gt	P
CSF1	ERBB4	hsa04010	--gt	P
CSF1	FGFR1	hsa04010	--gt	P
CSF1	FGFR3	hsa04010	--gt	P
CSF1	FGFR2	hsa04010	--gt	P
CSF1	FGFR4	hsa04010	--gt	P
CSF1	FLT1	hsa04010	--gt	P
CSF1	FLT3	hsa04010	--gt	P
CSF1	FLT4	hsa04010	--gt	P
CSF1	IGF1R	hsa04010	--gt	P
CSF1	INSR	hsa04010	--gt	P
CSF1	KIT	hsa04010	--gt	P
CSF1	NGFR	hsa04010	--gt	P
CSF1	NTRK1	hsa04010	--gt	P
CSF1	NTRK2	hsa04010	--gt	P
CSF1	PDGFRA	hsa04010	--gt	P
CSF1	PDGFRB	hsa04010	--gt	P
EFNA1	CSF1R	hsa04010	--gt	P
EFNA1	EPHA2	hsa04010	--gt	P
EFNA1	ERBB2	hsa04010	--gt	P
EFNA1	ERBB3	hsa04010	--gt	P
EFNA1	ERBB4	hsa04010	--gt	P
EFNA1	FGFR1	hsa04010	--gt	P
EFNA1	FGFR3	hsa04010	--gt	P
EFNA1	FGFR2	hsa04010	--gt	P
EFNA1	FGFR4	hsa04010	--gt	P
EFNA1	FLT1	hsa04010	--gt	P
EFNA1	FLT3	hsa04010	--gt	P
EFNA1	FLT4	hsa04010	--gt	P
EFNA1	IGF1R	hsa04010	--gt	P
EFNA1	INSR	hsa04010	--gt	P
EFNA1	KIT	hsa04010	--gt	P
EFNA1	NGFR	hsa04010	--gt	P
EFNA1	NTRK1	hsa04010	--gt	P
EFNA1	NTRK2	hsa04010	--gt	P
EFNA1	PDGFRA	hsa04010	--gt	P
EFNA1	PDGFRB	hsa04010	--gt	P
EFNA3	CSF1R	hsa04010	--gt	P
EFNA3	EPHA2	hsa04010	--gt	P
EFNA3	ERBB2	hsa04010	--gt	P
EFNA3	ERBB3	hsa04010	--gt	P
EFNA3	ERBB4	hsa04010	--gt	P
EFNA3	FGFR1	hsa04010	--gt	P
EFNA3	FGFR3	hsa04010	--gt	P
EFNA3	FGFR2	hsa04010	--gt	P
EFNA3	FGFR4	hsa04010	--gt	P
EFNA3	FLT1	hsa04010	--gt	P
EFNA3	FLT3	hsa04010	--gt	P
EFNA3	FLT4	hsa04010	--gt	P
EFNA3	IGF1R	hsa04010	--gt	P
EFNA3	INSR	hsa04010	--gt	P
EFNA3	KIT	hsa04010	--gt	P
EFNA3	NGFR	hsa04010	--gt	P
EFNA3	NTRK1	hsa04010	--gt	P
EFNA3	NTRK2	hsa04010	--gt	P
EFNA3	PDGFRA	hsa04010	--gt	P
EFNA3	PDGFRB	hsa04010	--gt	P
EFNA4	CSF1R	hsa04010	--gt	P
EFNA4	EPHA2	hsa04010	--gt	P
EFNA4	ERBB2	hsa04010	--gt	P
EFNA4	ERBB3	hsa04010	--gt	P
EFNA4	ERBB4	hsa04010	--gt	P
EFNA4	FGFR1	hsa04010	--gt	P
EFNA4	FGFR3	hsa04010	--gt	P
EFNA4	FGFR2	hsa04010	--gt	P
EFNA4	FGFR4	hsa04010	--gt	P
EFNA4	FLT1	hsa04010	--gt	P
EFNA4	FLT3	hsa04010	--gt	P
EFNA4	FLT4	hsa04010	--gt	P
EFNA4	IGF1R	hsa04010	--gt	P
EFNA4	INSR	hsa04010	--gt	P
EFNA4	KIT	hsa04010	--gt	P
EFNA4	NGFR	hsa04010	--gt	P
EFNA4	NTRK1	hsa04010	--gt	P
EFNA4	NTRK2	hsa04010	--gt	P
EFNA4	PDGFRA	hsa04010	--gt	P
EFNA4	PDGFRB	hsa04010	--gt	P
EFNA5	CSF1R	hsa04010	--gt	P
EFNA5	EPHA2	hsa04010	--gt	P
EFNA5	ERBB2	hsa04010	--gt	P
EFNA5	ERBB3	hsa04010	--gt	P
EFNA5	ERBB4	hsa04010	--gt	P
EFNA5	FGFR1	hsa04010	--gt	P
EFNA5	FGFR3	hsa04010	--gt	P
EFNA5	FGFR2	hsa04010	--gt	P
EFNA5	FGFR4	hsa04010	--gt	P
EFNA5	FLT1	hsa04010	--gt	P
EFNA5	FLT3	hsa04010	--gt	P
EFNA5	FLT4	hsa04010	--gt	P
EFNA5	IGF1R	hsa04010	--gt	P
EFNA5	INSR	hsa04010	--gt	P
EFNA5	KIT	hsa04010	--gt	P
EFNA5	NGFR	hsa04010	--gt	P
EFNA5	NTRK1	hsa04010	--gt	P
EFNA5	NTRK2	hsa04010	--gt	P
EFNA5	PDGFRA	hsa04010	--gt	P
EFNA5	PDGFRB	hsa04010	--gt	P
EREG	CSF1R	hsa04010	--gt	P
EREG	EPHA2	hsa04010	--gt	P
EREG	ERBB2	hsa04010	--gt	P
EREG	ERBB3	hsa04010	--gt	P
EREG	ERBB4	hsa04010	--gt	P
EREG	FGFR1	hsa04010	--gt	P
EREG	FGFR3	hsa04010	--gt	P
EREG	FGFR2	hsa04010	--gt	P
EREG	FGFR4	hsa04010	--gt	P
EREG	FLT1	hsa04010	--gt	P
EREG	FLT3	hsa04010	--gt	P
EREG	FLT4	hsa04010	--gt	P
EREG	IGF1R	hsa04010	--gt	P
EREG	INSR	hsa04010	--gt	P
EREG	KIT	hsa04010	--gt	P
EREG	NGFR	hsa04010	--gt	P
EREG	NTRK1	hsa04010	--gt	P
EREG	NTRK2	hsa04010	--gt	P
EREG	PDGFRA	hsa04010	--gt	P
EREG	PDGFRB	hsa04010	--gt	P
FGF1	CSF1R	hsa04010	--gt	P
FGF1	EPHA2	hsa04010	--gt	P
FGF1	ERBB2	hsa04010	--gt	P
FGF1	ERBB3	hsa04010	--gt	P
FGF1	ERBB4	hsa04010	--gt	P
FGF1	FGFR1	hsa04010	--gt	P
FGF1	FGFR3	hsa04010	--gt	P
FGF1	FGFR2	hsa04010	--gt	P
FGF1	FGFR4	hsa04010	--gt	P
FGF1	FLT1	hsa04010	--gt	P
FGF1	FLT3	hsa04010	--gt	P
FGF1	FLT4	hsa04010	--gt	P
FGF1	IGF1R	hsa04010	--gt	P
FGF1	INSR	hsa04010	--gt	P
FGF1	KIT	hsa04010	--gt	P
FGF1	NGFR	hsa04010	--gt	P
FGF1	NTRK1	hsa04010	--gt	P
FGF1	NTRK2	hsa04010	--gt	P
FGF1	PDGFRA	hsa04010	--gt	P
FGF1	PDGFRB	hsa04010	--gt	P
FGF5	CSF1R	hsa04010	--gt	P
FGF5	EPHA2	hsa04010	--gt	P
FGF5	ERBB2	hsa04010	--gt	P
FGF5	ERBB3	hsa04010	--gt	P
FGF5	ERBB4	hsa04010	--gt	P
FGF5	FGFR1	hsa04010	--gt	P
FGF5	FGFR3	hsa04010	--gt	P
FGF5	FGFR2	hsa04010	--gt	P
FGF5	FGFR4	hsa04010	--gt	P
FGF5	FLT1	hsa04010	--gt	P
FGF5	FLT3	hsa04010	--gt	P
FGF5	FLT4	hsa04010	--gt	P
FGF5	IGF1R	hsa04010	--gt	P
FGF5	INSR	hsa04010	--gt	P
FGF5	KIT	hsa04010	--gt	P
FGF5	NGFR	hsa04010	--gt	P
FGF5	NTRK1	hsa04010	--gt	P
FGF5	NTRK2	hsa04010	--gt	P
FGF5	PDGFRA	hsa04010	--gt	P
FGF5	PDGFRB	hsa04010	--gt	P
FGF7	CSF1R	hsa04010	--gt	P
FGF7	EPHA2	hsa04010	--gt	P
FGF7	ERBB2	hsa04010	--gt	P
FGF7	ERBB3	hsa04010	--gt	P
FGF7	ERBB4	hsa04010	--gt	P
FGF7	FGFR1	hsa04010	--gt	P
FGF7	FGFR3	hsa04010	--gt	P
FGF7	FGFR2	hsa04010	--gt	P
FGF7	FGFR4	hsa04010	--gt	P
FGF7	FLT1	hsa04010	--gt	P
FGF7	FLT3	hsa04010	--gt	P
FGF7	FLT4	hsa04010	--gt	P
FGF7	IGF1R	hsa04010	--gt	P
FGF7	INSR	hsa04010	--gt	P
FGF7	KIT	hsa04010	--gt	P
FGF7	NGFR	hsa04010	--gt	P
FGF7	NTRK1	hsa04010	--gt	P
FGF7	NTRK2	hsa04010	--gt	P
FGF7	PDGFRA	hsa04010	--gt	P
FGF7	PDGFRB	hsa04010	--gt	P
FGF9	CSF1R	hsa04010	--gt	P
FGF9	EPHA2	hsa04010	--gt	P
FGF9	ERBB2	hsa04010	--gt	P
FGF9	ERBB3	hsa04010	--gt	P
FGF9	ERBB4	hsa04010	--gt	P
FGF9	FGFR1	hsa04010	--gt	P
FGF9	FGFR3	hsa04010	--gt	P
FGF9	FGFR2	hsa04010	--gt	P
FGF9	FGFR4	hsa04010	--gt	P
FGF9	FLT1	hsa04010	--gt	P
FGF9	FLT3	hsa04010	--gt	P
FGF9	FLT4	hsa04010	--gt	P
FGF9	IGF1R	hsa04010	--gt	P
FGF9	INSR	hsa04010	--gt	P
FGF9	KIT	hsa04010	--gt	P
FGF9	NGFR	hsa04010	--gt	P
FGF9	NTRK1	hsa04010	--gt	P
FGF9	NTRK2	hsa04010	--gt	P
FGF9	PDGFRA	hsa04010	--gt	P
FGF9	PDGFRB	hsa04010	--gt	P
FLT3LG	CSF1R	hsa04010	--gt	P
FLT3LG	EPHA2	hsa04010	--gt	P
FLT3LG	ERBB2	hsa04010	--gt	P
FLT3LG	ERBB3	hsa04010	--gt	P
FLT3LG	ERBB4	hsa04010	--gt	P
FLT3LG	FGFR1	hsa04010	--gt	P
FLT3LG	FGFR3	hsa04010	--gt	P
FLT3LG	FGFR2	hsa04010	--gt	P
FLT3LG	FGFR4	hsa04010	--gt	P
FLT3LG	FLT1	hsa04010	--gt	P
FLT3LG	FLT3	hsa04010	--gt	P
FLT3LG	FLT4	hsa04010	--gt	P
FLT3LG	IGF1R	hsa04010	--gt	P
FLT3LG	INSR	hsa04010	--gt	P
FLT3LG	KIT	hsa04010	--gt	P
FLT3LG	NGFR	hsa04010	--gt	P
FLT3LG	NTRK1	hsa04010	--gt	P
FLT3LG	NTRK2	hsa04010	--gt	P
FLT3LG	PDGFRA	hsa04010	--gt	P
FLT3LG	PDGFRB	hsa04010	--gt	P
FGF20	CSF1R	hsa04010	--gt	P
FGF20	EPHA2	hsa04010	--gt	P
FGF20	ERBB2	hsa04010	--gt	P
FGF20	ERBB3	hsa04010	--gt	P
FGF20	ERBB4	hsa04010	--gt	P
FGF20	FGFR1	hsa04010	--gt	P
FGF20	FGFR3	hsa04010	--gt	P
FGF20	FGFR2	hsa04010	--gt	P
FGF20	FGFR4	hsa04010	--gt	P
FGF20	FLT1	hsa04010	--gt	P
FGF20	FLT3	hsa04010	--gt	P
FGF20	FLT4	hsa04010	--gt	P
FGF20	IGF1R	hsa04010	--gt	P
FGF20	INSR	hsa04010	--gt	P
FGF20	KIT	hsa04010	--gt	P
FGF20	NGFR	hsa04010	--gt	P
FGF20	NTRK1	hsa04010	--gt	P
FGF20	NTRK2	hsa04010	--gt	P
FGF20	PDGFRA	hsa04010	--gt	P
FGF20	PDGFRB	hsa04010	--gt	P
FGF22	CSF1R	hsa04010	--gt	P
FGF22	EPHA2	hsa04010	--gt	P
FGF22	ERBB2	hsa04010	--gt	P
FGF22	ERBB3	hsa04010	--gt	P
FGF22	ERBB4	hsa04010	--gt	P
FGF22	FGFR1	hsa04010	--gt	P
FGF22	FGFR3	hsa04010	--gt	P
FGF22	FGFR2	hsa04010	--gt	P
FGF22	FGFR4	hsa04010	--gt	P
FGF22	FLT1	hsa04010	--gt	P
FGF22	FLT3	hsa04010	--gt	P
FGF22	FLT4	hsa04010	--gt	P
FGF22	IGF1R	hsa04010	--gt	P
FGF22	INSR	hsa04010	--gt	P
FGF22	KIT	hsa04010	--gt	P
FGF22	NGFR	hsa04010	--gt	P
FGF22	NTRK1	hsa04010	--gt	P
FGF22	NTRK2	hsa04010	--gt	P
FGF22	PDGFRA	hsa04010	--gt	P
FGF22	PDGFRB	hsa04010	--gt	P
ANGPT1	CSF1R	hsa04010	--gt	P
ANGPT1	EPHA2	hsa04010	--gt	P
ANGPT1	ERBB2	hsa04010	--gt	P
ANGPT1	ERBB3	hsa04010	--gt	P
ANGPT1	ERBB4	hsa04010	--gt	P
ANGPT1	FGFR1	hsa04010	--gt	P
ANGPT1	FGFR3	hsa04010	--gt	P
ANGPT1	FGFR2	hsa04010	--gt	P
ANGPT1	FGFR4	hsa04010	--gt	P
ANGPT1	FLT1	hsa04010	--gt	P
ANGPT1	FLT3	hsa04010	--gt	P
ANGPT1	FLT4	hsa04010	--gt	P
ANGPT1	IGF1R	hsa04010	--gt	P
ANGPT1	INSR	hsa04010	--gt	P
ANGPT1	KIT	hsa04010	--gt	P
ANGPT1	NGFR	hsa04010	--gt	P
ANGPT1	NTRK1	hsa04010	--gt	P
ANGPT1	NTRK2	hsa04010	--gt	P
ANGPT1	PDGFRA	hsa04010	--gt	P
ANGPT1	PDGFRB	hsa04010	--gt	P
ANGPT2	CSF1R	hsa04010	--gt	P
ANGPT2	EPHA2	hsa04010	--gt	P
ANGPT2	ERBB2	hsa04010	--gt	P
ANGPT2	ERBB3	hsa04010	--gt	P
ANGPT2	ERBB4	hsa04010	--gt	P
ANGPT2	FGFR1	hsa04010	--gt	P
ANGPT2	FGFR3	hsa04010	--gt	P
ANGPT2	FGFR2	hsa04010	--gt	P
ANGPT2	FGFR4	hsa04010	--gt	P
ANGPT2	FLT1	hsa04010	--gt	P
ANGPT2	FLT3	hsa04010	--gt	P
ANGPT2	FLT4	hsa04010	--gt	P
ANGPT2	IGF1R	hsa04010	--gt	P
ANGPT2	INSR	hsa04010	--gt	P
ANGPT2	KIT	hsa04010	--gt	P
ANGPT2	NGFR	hsa04010	--gt	P
ANGPT2	NTRK1	hsa04010	--gt	P
ANGPT2	NTRK2	hsa04010	--gt	P
ANGPT2	PDGFRA	hsa04010	--gt	P
ANGPT2	PDGFRB	hsa04010	--gt	P
HGF	CSF1R	hsa04010	--gt	P
HGF	EPHA2	hsa04010	--gt	P
HGF	ERBB2	hsa04010	--gt	P
HGF	ERBB3	hsa04010	--gt	P
HGF	ERBB4	hsa04010	--gt	P
HGF	FGFR1	hsa04010	--gt	P
HGF	FGFR3	hsa04010	--gt	P
HGF	FGFR2	hsa04010	--gt	P
HGF	FGFR4	hsa04010	--gt	P
HGF	FLT1	hsa04010	--gt	P
HGF	FLT3	hsa04010	--gt	P
HGF	FLT4	hsa04010	--gt	P
HGF	IGF1R	hsa04010	--gt	P
HGF	INSR	hsa04010	--gt	P
HGF	KIT	hsa04010	--gt	P
HGF	NGFR	hsa04010	--gt	P
HGF	NTRK1	hsa04010	--gt	P
HGF	NTRK2	hsa04010	--gt	P
HGF	PDGFRA	hsa04010	--gt	P
HGF	PDGFRB	hsa04010	--gt	P
IGF1	CSF1R	hsa04010	--gt	P
IGF1	EPHA2	hsa04010	--gt	P
IGF1	ERBB2	hsa04010	--gt	P
IGF1	ERBB3	hsa04010	--gt	P
IGF1	ERBB4	hsa04010	--gt	P
IGF1	FGFR1	hsa04010	--gt	P
IGF1	FGFR3	hsa04010	--gt	P
IGF1	FGFR2	hsa04010	--gt	P
IGF1	FGFR4	hsa04010	--gt	P
IGF1	FLT1	hsa04010	--gt	P
IGF1	FLT3	hsa04010	--gt	P
IGF1	FLT4	hsa04010	--gt	P
IGF1	IGF1R	hsa04010	--gt	P
IGF1	INSR	hsa04010	--gt	P
IGF1	KIT	hsa04010	--gt	P
IGF1	NGFR	hsa04010	--gt	P
IGF1	NTRK1	hsa04010	--gt	P
IGF1	NTRK2	hsa04010	--gt	P
IGF1	PDGFRA	hsa04010	--gt	P
IGF1	PDGFRB	hsa04010	--gt	P
INS	CSF1R	hsa04010	--gt	P
INS	EPHA2	hsa04010	--gt	P
INS	ERBB2	hsa04010	--gt	P
INS	ERBB3	hsa04010	--gt	P
INS	ERBB4	hsa04010	--gt	P
INS	FGFR1	hsa04010	--gt	P
INS	FGFR3	hsa04010	--gt	P
INS	FGFR2	hsa04010	--gt	P
INS	FGFR4	hsa04010	--gt	P
INS	FLT1	hsa04010	--gt	P
INS	FLT3	hsa04010	--gt	P
INS	FLT4	hsa04010	--gt	P
INS	IGF1R	hsa04010	--gt	P
