gene1	gene2	interaction	type	type.1
TP53	SFN	hsa04115	--gt	P
TP53	RPRM	hsa04115	--gt	P
TP53	GADD45G	hsa04115	--gt	P
TP53	GADD45A	hsa04115	--gt	P
TP53	GADD45B	hsa04115	--gt	P
TP53	GTSE1	hsa04115	--gt	P
TP53	FAS	hsa04115	--gt	P
TP53	PIDD1	hsa04115	--gt	P
TP53	TNFRSF10B	hsa04115	--gt	P
TP53	BAX	hsa04115	--gt	P
TP53	PMAIP1	hsa04115	--gt	P
BBC3	TP53	hsa04115	--gt	P
TP53	EI24	hsa04115	--gt	P
TP53	TP53I3	hsa04115	--gt	P
TP53	SHISA5	hsa04115	--gt	P
TP53	PERP	hsa04115	--gt	P
TP53	ZMAT3	hsa04115	--gt	P
TP53	SIAH1	hsa04115	--gt	P
TP53	IGFBP3	hsa04115	--gt	P
TP53	SERPINE1	hsa04115	--gt	P
TP53	ADGRB1	hsa04115	--gt	P
TP53	CD82	hsa04115	--gt	P
TP53	THBS1	hsa04115	--gt	P
TP53	DDB2	hsa04115	--gt	P
TP53	RRM2B	hsa04115	--gt	P
TP53	RRM2	hsa04115	--gt	P
TP53	SESN3	hsa04115	--gt	P
TP53	SESN1	hsa04115	--gt	P
TP53	SESN2	hsa04115	--gt	P
TP53	PTEN	hsa04115	--gt	P
TP53	TSC2	hsa04115	--gt	P
TP53	STEAP3	hsa04115	--gt	P
TP53	RCHY1	hsa04115	--gt	P
TP53	CCNG1	hsa04115	--gt	P
TP53	CCNG2	hsa04115	--gt	P
TP53	PPM1D	hsa04115	--gt	P
TP53	TP73	hsa04115	--gt	P
BID	CYCS	hsa04115	..gt	M
SIAH1	CYCS	hsa04115	..gt	M
CYCS	CASP9	hsa04115	--gt	P
APAF1	CASP9	hsa04115	--gt	P
CASP9	CASP3	hsa04115	--gt	P
CASP8	CASP3	hsa04115	--gt	P
TNFRSF10B	CASP8	hsa04115	..gt	M
TP53	SIVA1	hsa04115	--gt	P
TP53	AIFM2	hsa04115	--gt	P
SIVA1	BCL2L1	hsa04115	--|	N
SIVA1	BCL2	hsa04115	--|	N
BCL2L1	BAX	hsa04115	--|	N
BCL2	BAX	hsa04115	--|	N
GNA12	RASA2	hsa04010	--gt	P
RAPGEF2	RRAS2	hsa04010	--gt	P
RAPGEF2	MRAS	hsa04010	--gt	P
RAPGEF2	HRAS	hsa04010	--gt	P
RAPGEF2	KRAS	hsa04010	--gt	P
RAPGEF2	NRAS	hsa04010	--gt	P
RAPGEF2	RRAS	hsa04010	--gt	P
RASGRF1	RRAS2	hsa04010	--gt	P
RASGRF1	MRAS	hsa04010	--gt	P
RASGRF1	HRAS	hsa04010	--gt	P
RASGRF1	KRAS	hsa04010	--gt	P
RASGRF1	NRAS	hsa04010	--gt	P
RASGRF1	RRAS	hsa04010	--gt	P
RASGRF2	RRAS2	hsa04010	--gt	P
